rawred-mean,vegde-sd,exblue-mean,region-centroid-col,hedge-sd,exgreen-mean,hedge-mean,intensity-mean,region-centroid-row,short-line-density-2,short-line-density-5,exred-mean,rawgreen-mean,region-pixel-count,value-mean,saturation-mean,rawblue-mean,hue-mean,vedge-mean,class
26.2222_to_56.3333,0.2074075_to_0.6236095,42.83335_to_46.94445,193.5_to_inf,0.1777785_to_0.5577735,-25.72225_to_-20.94445,0.7222225_to_1.36111,47.22225_to_63.57405,175.5_to_210.5,-inf_to_0.0555555,All,-22.27775_to_-13.94445,35.72225_to_55.83335,All,48.44445_to_79.6667,0.2751625_to_0.321112,48.44445_to_79.6667,-2.094395_to_-1.85339,0.7222225_to_1.305555,path
-inf_to_3.833335,0.2074075_to_0.6236095,1.166665_to_5.388885,-inf_to_151.5,0.1777785_to_0.5577735,-4.833335_to_-1.388885,0.2777785_to_0.5000005,0.2037035_to_3.74074,129.5_to_147.5,-inf_to_0.0555555,All,-4.611115_to_-0.5,0.0555555_to_1.722225,All,1.277775_to_5.33333,0.7169145_to_inf,0.6111115_to_3.944445,-2.145865_to_-2.09446,0.1944435_to_0.3333345,foliage
67.83335_to_inf,0.6236095_to_1.496605,46.94445_to_53.83335,193.5_to_inf,0.9146795_to_1.59132,-17.83335_to_-15.16665,0.7222225_to_1.36111,82.9815_to_inf,-inf_to_54.5,-inf_to_0.0555555,All,-inf_to_-30.27775,71.27775_to_inf,All,101.7777_to_inf,0.117533_to_0.2217045,101.7777_to_inf,-2.41102_to_-2.238835,0.7222225_to_1.305555,sky
26.2222_to_56.3333,1.496605_to_8.26852,28.72225_to_42.83335,-inf_to_151.5,1.59132_to_10.9407,-20.94445_to_-17.83335,1.916665_to_2.97222,47.22225_to_63.57405,175.5_to_210.5,-inf_to_0.0555555,All,-22.27775_to_-13.94445,35.72225_to_55.83335,All,48.44445_to_79.6667,0.2751625_to_0.321112,48.44445_to_79.6667,-2.094395_to_-1.85339,1.305555_to_1.805555,path
26.2222_to_56.3333,0.6236095_to_1.496605,28.72225_to_42.83335,-inf_to_151.5,1.59132_to_10.9407,-20.94445_to_-17.83335,2.97222_to_5.333335,47.22225_to_63.57405,175.5_to_210.5,-inf_to_0.0555555,All,-13.94445_to_-8.166665,35.72225_to_55.83335,All,48.44445_to_79.6667,0.2751625_to_0.321112,48.44445_to_79.6667,-2.094395_to_-1.85339,1.305555_to_1.805555,path
8.611115_to_15.61115,1.496605_to_8.26852,-0.111111_to_1.166665,193.5_to_inf,0.5577735_to_0.9146795,0.9444455_to_inf,0.7222225_to_1.36111,17.16665_to_26.07405,210.5_to_inf,-inf_to_0.0555555,All,-13.94445_to_-8.166665,16.94445_to_22.27775,All,20.38885_to_28.61115,0.321112_to_0.3629445,8.833335_to_19.83335,0.64353_to_inf,1.305555_to_1.805555,grass
6.277775_to_8.611115,0.2074075_to_0.6236095,1.166665_to_5.388885,-inf_to_151.5,0.02962965_to_0.1777785,-8.5_to_-6.277775,0.5000005_to_0.7222225,4.48148_to_6.7963,81.5_to_116.5,-inf_to_0.0555555,All,0.1666665_to_inf,2.722225_to_4.277775,All,6.5_to_8.5,0.5273295_to_0.6216975,6.166665_to_8.833335,-1.51262_to_-0.28793347,0.3333345_to_0.7222225,brickface
8.611115_to_15.61115,8.26852_to_inf,21.16665_to_28.72225,-inf_to_151.5,10.9407_to_inf,-6.277775_to_-4.833335,5.333335_to_19.3611,17.16665_to_26.07405,67.5_to_81.5,-inf_to_0.0555555,All,-22.27775_to_-13.94445,16.94445_to_22.27775,All,28.61115_to_36.27775,0.5273295_to_0.6216975,26.27775_to_36.27775,-inf_to_-2.41102,6.63889_to_inf,foliage
18.5_to_22.94445,1.496605_to_8.26852,17.16665_to_21.16665,-inf_to_151.5,1.59132_to_10.9407,-17.83335_to_-15.16665,2.97222_to_5.333335,17.16665_to_26.07405,81.5_to_116.5,-inf_to_0.0555555,All,-4.611115_to_-0.5,12.38885_to_16.94445,All,20.38885_to_28.61115,0.3629445_to_0.447372,26.27775_to_36.27775,-1.85339_to_-1.51262,1.805555_to_4.083335,brickface
22.94445_to_26.2222,0.6236095_to_1.496605,17.16665_to_21.16665,151.5_to_193.5,0.5577735_to_0.9146795,-13.38885_to_-9.944445,0.7222225_to_1.36111,26.07405_to_29.53705,81.5_to_116.5,-inf_to_0.0555555,All,-13.94445_to_-8.166665,22.27775_to_26.5,All,28.61115_to_36.27775,0.2751625_to_0.321112,26.27775_to_36.27775,-2.094395_to_-1.85339,4.083335_to_6.63889,cement
-inf_to_3.833335,0.03333335_to_0.2074075,1.166665_to_5.388885,193.5_to_inf,-inf_to_0.02962965,-1.388885_to_0.9444455,-inf_to_0.2777785,0.2037035_to_3.74074,147.5_to_155.5,-inf_to_0.0555555,All,-4.611115_to_-0.5,-inf_to_0.0555555,All,-inf_to_1.277775,0.7169145_to_inf,0.6111115_to_3.944445,-2.09446_to_-2.094395,0.1944435_to_0.3333345,window
-inf_to_3.833335,0.03333335_to_0.2074075,-0.111111_to_1.166665,-inf_to_151.5,0.02962965_to_0.1777785,-1.388885_to_0.9444455,-inf_to_0.2777785,-inf_to_0.2037035,129.5_to_147.5,-inf_to_0.0555555,All,-0.5_to_0.1666665,-inf_to_0.0555555,All,-inf_to_1.277775,0.07434455_to_0.117533,-inf_to_0.6111115,-2.09446_to_-2.094395,-inf_to_0.1944435,window
