rawred-mean,vegde-sd,exblue-mean,region-centroid-col,hedge-sd,exgreen-mean,hedge-mean,intensity-mean,region-centroid-row,short-line-density-2,short-line-density-5,exred-mean,rawgreen-mean,region-pixel-count,value-mean,saturation-mean,rawblue-mean,hue-mean,vedge-mean,class
41.8889_to_56.3333,0.2407415_to_0.6280325,42.83335_to_46.94445,193.5_to_inf,0.1777785_to_0.5577735,-25.83335_to_-20.94445,0.5000005_to_1.36111,47.22225_to_63.35185,175.5_to_210.5,-inf_to_0.0555555,0.0555555_to_inf,-22.27775_to_-13.94445,35.72225_to_55.83335,All,49.5_to_77.8889,0.2749175_to_0.321002,49.5_to_77.8889,-2.08594_to_-1.85084,0.7222225_to_1.250005,path
-inf_to_3.833335,0.2407415_to_0.6280325,1.166665_to_5.388885,-inf_to_151.5,0.1777785_to_0.5577735,-6.388885_to_-1.388885,0.2777785_to_0.5000005,0.3148145_to_3.72222,129.5_to_147.5,-inf_to_0.0555555,-inf_to_0.0555555,-4.277775_to_-1.5,0.0555555_to_1.722225,All,0.6111115_to_3.277775,0.7169145_to_inf,1.166665_to_3.944445,-2.20471_to_-2.08594,0.1944435_to_0.3333345,foliage
25.8889_to_41.8889,1.468685_to_4.00185,26.61115_to_42.83335,-inf_to_151.5,1.59132_to_10.9407,-17.83335_to_-15.05555,4.02778_to_19.30555,31.64815_to_47.22225,162.5_to_175.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,35.72225_to_55.83335,All,49.5_to_77.8889,0.247783_to_0.2749175,49.5_to_77.8889,-2.08594_to_-1.85084,1.250005_to_1.916665,path
41.8889_to_56.3333,1.468685_to_4.00185,26.61115_to_42.83335,-inf_to_151.5,1.59132_to_10.9407,-20.94445_to_-17.83335,1.916665_to_4.02778,47.22225_to_63.35185,175.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,35.72225_to_55.83335,All,49.5_to_77.8889,0.2749175_to_0.321002,49.5_to_77.8889,-2.08594_to_-1.85084,1.250005_to_1.916665,path
41.8889_to_56.3333,0.6280325_to_1.468685,26.61115_to_42.83335,-inf_to_151.5,1.59132_to_10.9407,-20.94445_to_-17.83335,1.916665_to_4.02778,47.22225_to_63.35185,175.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,35.72225_to_55.83335,All,49.5_to_77.8889,0.2749175_to_0.321002,49.5_to_77.8889,-2.08594_to_-1.85084,1.250005_to_1.916665,path
8.611115_to_15.5,1.468685_to_4.00185,-0.111111_to_1.166665,193.5_to_inf,0.5577735_to_0.964527,3.444445_to_inf,0.5000005_to_1.36111,17.16665_to_27.51855,210.5_to_inf,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,16.94445_to_21.72225,All,20.72225_to_36.27775,0.321002_to_0.3629445,9.277775_to_19.83335,0.64353_to_inf,1.250005_to_1.916665,grass
6.277775_to_8.611115,0.03333335_to_0.2407415,1.166665_to_5.388885,-inf_to_151.5,0.02962965_to_0.1777785,-8.5_to_-6.388885,0.5000005_to_1.36111,4.48148_to_6.7963,81.5_to_116.5,-inf_to_0.0555555,-inf_to_0.0555555,0.7222225_to_inf,2.722225_to_4.277775,All,6.5_to_8.5,0.513642_to_0.6216975,6.166665_to_9.277775,-1.51262_to_-0.28793347,0.3333345_to_0.7222225,brickface
8.611115_to_15.5,12.5625_to_inf,26.61115_to_42.83335,-inf_to_151.5,10.9407_to_241.335,-6.388885_to_-1.388885,4.02778_to_19.30555,17.16665_to_27.51855,67.5_to_81.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,16.94445_to_21.72225,All,20.72225_to_36.27775,0.513642_to_0.6216975,26.05555_to_36.27775,-inf_to_-2.41102,6.63889_to_inf,foliage
18.16665_to_24.72225,4.00185_to_12.5625,16.72225_to_21.16665,-inf_to_151.5,1.59132_to_10.9407,-17.83335_to_-15.05555,1.916665_to_4.02778,17.16665_to_27.51855,81.5_to_116.5,-inf_to_0.0555555,0.0555555_to_inf,-4.277775_to_-1.5,12.5_to_16.94445,All,20.72225_to_36.27775,0.3629445_to_0.447372,26.05555_to_36.27775,-1.85084_to_-1.51262,1.916665_to_3.916665,brickface
18.16665_to_24.72225,0.6280325_to_1.468685,16.72225_to_21.16665,151.5_to_193.5,0.5577735_to_0.964527,-13.72225_to_-9.944445,0.5000005_to_1.36111,17.16665_to_27.51855,81.5_to_116.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,21.72225_to_26.5,All,20.72225_to_36.27775,0.2749175_to_0.321002,26.05555_to_36.27775,-2.08594_to_-1.85084,3.916665_to_6.63889,cement
-inf_to_3.833335,0.03333335_to_0.2407415,1.166665_to_5.388885,193.5_to_inf,-inf_to_0.02962965,-1.388885_to_3.444445,-inf_to_0.2777785,0.3148145_to_3.72222,147.5_to_155.5,-inf_to_0.0555555,-inf_to_0.0555555,-1.5_to_0.7222225,-inf_to_0.0555555,All,0.6111115_to_3.277775,0.7169145_to_inf,-inf_to_1.166665,-2.20471_to_-2.08594,0.1944435_to_0.3333345,window
-inf_to_3.833335,0.03333335_to_0.2407415,-0.111111_to_1.166665,-inf_to_151.5,0.02962965_to_0.1777785,-1.388885_to_3.444445,-inf_to_0.2777785,-inf_to_0.3148145,129.5_to_147.5,-inf_to_0.0555555,-inf_to_0.0555555,-1.5_to_0.7222225,-inf_to_0.0555555,All,-inf_to_0.6111115,0.0926828_to_0.117533,-inf_to_1.166665,-2.20471_to_-2.08594,-inf_to_0.1944435,window
41.8889_to_56.3333,0.6280325_to_1.468685,42.83335_to_46.94445,-inf_to_151.5,0.964527_to_1.59132,-25.83335_to_-20.94445,0.5000005_to_1.36111,47.22225_to_63.35185,175.5_to_210.5,0.0555555_to_inf,0.0555555_to_inf,-22.27775_to_-13.94445,35.72225_to_55.83335,All,49.5_to_77.8889,0.2749175_to_0.321002,49.5_to_77.8889,-2.08594_to_-1.85084,1.250005_to_1.916665,path
3.833335_to_6.277775,0.6280325_to_1.468685,-inf_to_-0.111111,193.5_to_inf,1.59132_to_10.9407,3.444445_to_inf,1.916665_to_4.02778,4.48148_to_6.7963,210.5_to_inf,-inf_to_0.0555555,0.0555555_to_inf,-4.277775_to_-1.5,6.944445_to_12.5,All,6.5_to_8.5,0.3629445_to_0.447372,3.944445_to_6.166665,0.64353_to_inf,1.916665_to_3.916665,grass
