rawred-mean,vegde-sd,exblue-mean,region-centroid-col,hedge-sd,exgreen-mean,hedge-mean,intensity-mean,region-centroid-row,short-line-density-2,short-line-density-5,exred-mean,rawgreen-mean,region-pixel-count,value-mean,saturation-mean,rawblue-mean,hue-mean,vedge-mean,class
-inf_to_3.833335,0.2074075_to_0.620631,1.166665_to_5.388885,-inf_to_151.5,0.3442655_to_0.9189365,-6.277775_to_-1.5,0.2777785_to_0.4999995,0.2037035_to_3.72222,116.5_to_130.5,-inf_to_0.0555555,-inf_to_0.0555555,-4.277775_to_-1.5,0.0555555_to_1.722225,All,1.166665_to_5.166665,0.7169145_to_inf,1.166665_to_3.944445,-2.145865_to_-2.09446,0.194444_to_0.3333345,foliage
67.83335_to_inf,0.620631_to_1.496605,48.5_to_inf,193.5_to_inf,0.9189365_to_1.59132,-17.83335_to_-15.16665,0.8333345_to_1.916665,82.9815_to_inf,-inf_to_52.5,-inf_to_0.0555555,-inf_to_0.0555555,-inf_to_-30.27775,71.27775_to_inf,All,101.7777_to_inf,0.117533_to_0.2217045,101.7777_to_inf,-2.41102_to_-2.245545,0.7222225_to_1.305555,sky
26.2222_to_41.94445,1.496605_to_7.75185,23.16665_to_29.61115,-inf_to_151.5,1.59132_to_11.66845,-17.83335_to_-15.16665,4.02778_to_20.02775,31.8889_to_44.92595,162.5_to_181.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,36.05555_to_55.83335,All,48.83335_to_77.8889,0.262537_to_0.2751625,48.83335_to_77.8889,-2.094395_to_-1.85084,1.305555_to_2.527775,path
41.94445_to_56.3333,1.496605_to_7.75185,29.61115_to_42.83335,-inf_to_151.5,1.59132_to_11.66845,-20.94445_to_-17.83335,1.916665_to_4.02778,44.92595_to_63.57405,181.5_to_207.5,-inf_to_0.0555555,-inf_to_0.0555555,-23.8889_to_-13.94445,36.05555_to_55.83335,All,48.83335_to_77.8889,0.2751625_to_0.321112,48.83335_to_77.8889,-2.094395_to_-1.85084,1.305555_to_2.527775,path
41.94445_to_56.3333,0.620631_to_1.496605,29.61115_to_42.83335,-inf_to_151.5,1.59132_to_11.66845,-20.94445_to_-17.83335,1.916665_to_4.02778,44.92595_to_63.57405,181.5_to_207.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,36.05555_to_55.83335,All,48.83335_to_77.8889,0.2751625_to_0.321112,48.83335_to_77.8889,-2.094395_to_-1.85084,1.305555_to_2.527775,path
9.611115_to_15.61115,1.496605_to_7.75185,-0.111111_to_1.166665,193.5_to_inf,0.3442655_to_0.9189365,1.0555565_to_inf,0.8333345_to_1.916665,16.1296_to_19.83335,207.5_to_inf,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,16.94445_to_22.16665,All,20.16665_to_25.38885,0.321112_to_0.35624,9.5_to_19.83335,0.64353_to_inf,1.305555_to_2.527775,grass
6.388885_to_8.611115,0.2074075_to_0.620631,1.166665_to_5.388885,-inf_to_151.5,0.0314815_to_0.3442655,-8.5_to_-6.277775,0.4999995_to_0.8333345,4.48148_to_6.35185,81.5_to_116.5,-inf_to_0.0555555,-inf_to_0.0555555,0.1666665_to_inf,2.722225_to_4.277775,All,6.611115_to_8.722225,0.5243995_to_0.6040585,5.166665_to_9.5,-1.51262_to_-0.28793347,0.3333345_to_0.7222225,brickface
18.16665_to_24.16665,7.75185_to_inf,16.94445_to_23.16665,-inf_to_151.5,1.59132_to_11.66845,-17.83335_to_-15.16665,1.916665_to_4.02778,19.83335_to_28.75925,81.5_to_116.5,-inf_to_0.0555555,0.0555555_to_inf,-4.277775_to_-1.5,11.83335_to_16.94445,All,25.38885_to_37.72225,0.3882865_to_0.447372,26.16665_to_37.72225,-1.85084_to_-1.51262,2.527775_to_3.916665,brickface
18.16665_to_24.16665,0.620631_to_1.496605,16.94445_to_23.16665,151.5_to_193.5,0.3442655_to_0.9189365,-13.83335_to_-9.944445,0.8333345_to_1.916665,19.83335_to_28.75925,81.5_to_116.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,22.16665_to_26.5,All,25.38885_to_37.72225,0.2751625_to_0.321112,26.16665_to_37.72225,-2.094395_to_-1.85084,3.916665_to_6.63889,cement
-inf_to_3.833335,0.03333335_to_0.2074075,1.166665_to_5.388885,193.5_to_inf,-inf_to_0.0314815,-1.5_to_1.0555565,-inf_to_0.2777785,0.2037035_to_3.72222,147.5_to_155.5,-inf_to_0.0555555,-inf_to_0.0555555,-1.5_to_0.1666665,-inf_to_0.0555555,All,-inf_to_1.166665,0.7169145_to_inf,-inf_to_1.166665,-2.09446_to_-2.094395,0.194444_to_0.3333345,window
-inf_to_3.833335,0.03333335_to_0.2074075,-0.111111_to_1.166665,-inf_to_151.5,0.0314815_to_0.3442655,-1.5_to_1.0555565,-inf_to_0.2777785,-inf_to_0.2037035,130.5_to_147.5,-inf_to_0.0555555,-inf_to_0.0555555,-1.5_to_0.1666665,-inf_to_0.0555555,All,-inf_to_1.166665,0.07434455_to_0.117533,-inf_to_1.166665,-2.09446_to_-2.094395,-inf_to_0.194444,window
