Mg,Ca,Ba,Na,K,Al,Si,Fe,RI,Type
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,-inf_to_1.517325,vehic wind float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,1.517875_to_inf,build wind float
-inf_to_2.695,10.075_to_inf,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517875_to_inf,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517875_to_inf,build wind float
-inf_to_2.695,8.255_to_10.075,0.4_to_inf,14.065_to_inf,0.055_to_0.745,1.775_to_inf,All,All,-inf_to_1.517325,headlamps
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517875_to_inf,build wind non-float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517325_to_1.517875,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517875_to_inf,build wind float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517875_to_inf,vehic wind float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,vehic wind float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
-inf_to_2.695,8.255_to_10.075,0.4_to_inf,14.065_to_inf,-inf_to_0.055,1.775_to_inf,All,All,-inf_to_1.517325,headlamps
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,1.517875_to_inf,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517875_to_inf,build wind float
-inf_to_2.695,10.075_to_inf,-inf_to_0.4,-inf_to_14.065,0.745_to_inf,1.775_to_inf,All,All,1.517875_to_inf,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517875_to_inf,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517325_to_1.517875,build wind float
-inf_to_2.695,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.745_to_inf,1.775_to_inf,All,All,1.517875_to_inf,containers
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.775_to_inf,All,All,-inf_to_1.517325,build wind non-float
-inf_to_2.695,8.255_to_10.075,0.4_to_inf,14.065_to_inf,-inf_to_0.055,1.775_to_inf,All,All,-inf_to_1.517325,headlamps
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,-inf_to_1.517325,vehic wind float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,1.517875_to_inf,vehic wind float
-inf_to_2.695,-inf_to_7.02,-inf_to_0.4,14.065_to_inf,-inf_to_0.055,-inf_to_1.39,All,All,-inf_to_1.517325,tableware
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517325_to_1.517875,build wind float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,14.065_to_inf,0.745_to_inf,1.775_to_inf,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517875_to_inf,build wind float
2.695_to_inf,8.255_to_10.075,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,-inf_to_1.39,All,All,1.517875_to_inf,build wind non-float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
2.695_to_inf,7.02_to_8.255,-inf_to_0.4,-inf_to_14.065,0.055_to_0.745,1.39_to_1.775,All,All,-inf_to_1.517325,build wind non-float
