rawred-mean,vegde-sd,exblue-mean,region-centroid-col,hedge-sd,exgreen-mean,hedge-mean,intensity-mean,region-centroid-row,short-line-density-2,short-line-density-5,exred-mean,rawgreen-mean,region-pixel-count,value-mean,saturation-mean,rawblue-mean,hue-mean,vedge-mean,class
42.38885_to_56.3333,0.1962965_to_0.6236095,42.83335_to_48.72225,193.5_to_inf,0.1777785_to_0.5518515,-26.05555_to_-20.94445,0.7222225_to_1.36111,47.22225_to_63.57405,175.5_to_207.5,-inf_to_0.0555555,0.0555555_to_inf,-22.27775_to_-13.94445,35.72225_to_55.83335,All,56.44445_to_77.8889,0.2751625_to_0.321215,56.44445_to_77.8889,-2.08594_to_-1.85084,0.7222225_to_1.305555,path
-inf_to_3.833335,0.1962965_to_0.6236095,1.166665_to_5.388885,-inf_to_151.5,0.1777785_to_0.5518515,-4.833335_to_-1.388885,0.305555_to_0.5000005,0.2037035_to_3.72222,129.5_to_147.5,-inf_to_0.0555555,-inf_to_0.0555555,-3.166665_to_-1.277775,-inf_to_1.722225,All,1.166665_to_5.166665,0.7193095_to_inf,1.166665_to_3.944445,-2.20471_to_-2.08594,0.1944435_to_0.3333345,foliage
71.3889_to_inf,0.6236095_to_1.496605,48.72225_to_inf,193.5_to_inf,0.964527_to_1.59132,-17.83335_to_-14.16665,0.7222225_to_1.36111,84.11115_to_inf,-inf_to_50.5,-inf_to_0.0555555,-inf_to_0.0555555,-inf_to_-31.16665,77.2778_to_inf,All,103.3887_to_inf,0.117237_to_0.2217045,103.3887_to_inf,-2.42166_to_-2.245545,0.7222225_to_1.305555,sky
26.2222_to_42.38885,1.496605_to_5.83043,26.61115_to_42.83335,-inf_to_151.5,1.59132_to_9.55741,-17.83335_to_-14.16665,5.333335_to_19.55555,31.8889_to_47.22225,162.5_to_175.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-11.5,35.72225_to_55.83335,All,43.83335_to_56.44445,0.2591595_to_0.2751625,43.83335_to_56.44445,-2.08594_to_-1.85084,1.305555_to_2.527775,path
42.38885_to_56.3333,1.496605_to_5.83043,26.61115_to_42.83335,-inf_to_151.5,1.59132_to_9.55741,-20.94445_to_-17.83335,1.916665_to_2.97222,47.22225_to_63.57405,175.5_to_207.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,35.72225_to_55.83335,All,56.44445_to_77.8889,0.2751625_to_0.321215,56.44445_to_77.8889,-2.08594_to_-1.85084,1.305555_to_2.527775,path
42.38885_to_56.3333,0.6236095_to_1.496605,26.61115_to_42.83335,-inf_to_151.5,1.59132_to_9.55741,-20.94445_to_-17.83335,2.97222_to_5.333335,47.22225_to_63.57405,175.5_to_207.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-11.5,35.72225_to_55.83335,All,56.44445_to_77.8889,0.2751625_to_0.321215,56.44445_to_77.8889,-2.08594_to_-1.85084,1.305555_to_2.527775,path
8.611115_to_15.61115,1.496605_to_5.83043,-0.111111_to_1.166665,193.5_to_inf,0.5518515_to_0.964527,1.0555565_to_inf,0.7222225_to_1.36111,16.1296_to_19.83335,210.5_to_inf,-inf_to_0.0555555,-inf_to_0.0555555,-11.5_to_-7.388885,16.94445_to_22.16665,All,20.16665_to_25.38885,0.321215_to_0.3629445,8.833335_to_19.05555,0.64353_to_inf,1.305555_to_2.527775,grass
8.611115_to_15.61115,5.83043_to_inf,26.61115_to_42.83335,-inf_to_151.5,9.55741_to_inf,-6.277775_to_-4.833335,5.333335_to_19.55555,19.83335_to_29.53705,67.5_to_81.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,16.94445_to_22.16665,All,25.38885_to_36.27775,0.5273295_to_0.6216975,26.16665_to_36.27775,-inf_to_-2.42166,6.63889_to_inf,foliage
18.16665_to_26.2222,5.83043_to_inf,16.94445_to_21.16665,-inf_to_151.5,1.59132_to_9.55741,-17.83335_to_-14.16665,2.97222_to_5.333335,19.83335_to_29.53705,81.5_to_116.5,-inf_to_0.0555555,0.0555555_to_inf,-3.166665_to_-1.277775,12.5_to_16.94445,All,25.38885_to_36.27775,0.3882865_to_0.447372,26.16665_to_36.27775,-1.85084_to_-1.51262,2.527775_to_3.916665,brickface
18.16665_to_26.2222,0.6236095_to_1.496605,16.94445_to_21.16665,151.5_to_193.5,0.5518515_to_0.964527,-14.16665_to_-9.944445,0.7222225_to_1.36111,19.83335_to_29.53705,81.5_to_116.5,-inf_to_0.0555555,-inf_to_0.0555555,-11.5_to_-7.388885,22.16665_to_26.5,All,25.38885_to_36.27775,0.2751625_to_0.321215,26.16665_to_36.27775,-2.08594_to_-1.85084,3.916665_to_6.63889,cement
