sepallength,petalwidth,sepalwidth,petallength,class
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,-inf_to_3.05,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,-inf_to_3.05,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,-inf_to_3.05,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,-inf_to_3.05,-inf_to_2.45,Iris-setosa
5.75_to_inf,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
5.45_to_5.75,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
5.45_to_5.75,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,-inf_to_3.05,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
5.45_to_5.75,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,-inf_to_3.05,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,3.05_to_inf,-inf_to_2.45,Iris-setosa
-inf_to_5.45,-inf_to_0.8,-inf_to_3.05,-inf_to_2.45,Iris-setosa
