rawred-mean,vegde-sd,exblue-mean,region-centroid-col,hedge-sd,exgreen-mean,hedge-mean,intensity-mean,region-centroid-row,short-line-density-2,short-line-density-5,exred-mean,rawgreen-mean,region-pixel-count,value-mean,saturation-mean,rawblue-mean,hue-mean,vedge-mean,class
42.0_to_56.3333,0.1962965_to_0.6236095,46.61115_to_49.83335,193.5_to_inf,0.4612155_to_0.9822495,-26.05555_to_-20.94445,0.5000005_to_1.36111,47.22225_to_63.57405,162.5_to_210.5,-inf_to_0.0555555,0.0555555_to_inf,-22.27775_to_-13.94445,35.72225_to_55.83335,All,57.5_to_77.8889,0.2751625_to_0.321112,57.5_to_77.8889,-2.09435_to_-1.85084,0.7222225_to_1.305555,path
-inf_to_3.833335,0.1962965_to_0.6236095,1.166665_to_5.388885,-inf_to_151.5,0.1777785_to_0.4612155,-6.277775_to_-1.388885,0.2777785_to_0.5000005,0.2037035_to_3.90741,129.5_to_147.5,-inf_to_0.0555555,-inf_to_0.0555555,-4.611115_to_-1.277775,0.0555555_to_1.833335,All,0.6111115_to_5.166665,0.7157245_to_inf,0.6111115_to_3.944445,-2.166535_to_-2.110345,0.1944435_to_0.3333345,foliage
67.83335_to_inf,0.6236095_to_1.496605,49.83335_to_59.5,193.5_to_inf,0.9822495_to_1.59132,-17.05555_to_-13.38885,0.5000005_to_1.36111,82.9815_to_inf,-inf_to_50.5,-inf_to_0.0555555,-inf_to_0.0555555,-inf_to_-30.27775,71.27775_to_inf,All,101.7777_to_inf,0.117533_to_0.247783,101.7777_to_inf,-2.41102_to_-2.245545,0.7222225_to_1.305555,sky
26.2222_to_42.0,1.496605_to_12.20925,23.05555_to_32.94445,-inf_to_151.5,1.59132_to_11.57775,-17.05555_to_-13.38885,4.02778_to_19.3611,31.8889_to_47.22225,162.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,35.72225_to_55.83335,All,43.83335_to_57.5,0.247783_to_0.2751625,43.83335_to_57.5,-2.09435_to_-1.85084,1.305555_to_2.527775,path
42.0_to_56.3333,1.496605_to_12.20925,32.94445_to_42.83335,-inf_to_151.5,1.59132_to_11.57775,-20.94445_to_-17.05555,1.916665_to_4.02778,47.22225_to_63.57405,162.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,35.72225_to_55.83335,All,57.5_to_77.8889,0.2751625_to_0.321112,57.5_to_77.8889,-2.09435_to_-1.85084,1.305555_to_2.527775,path
42.0_to_56.3333,0.6236095_to_1.496605,23.05555_to_32.94445,-inf_to_151.5,1.59132_to_11.57775,-20.94445_to_-17.05555,1.916665_to_4.02778,47.22225_to_63.57405,162.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,35.72225_to_55.83335,All,57.5_to_77.8889,0.2751625_to_0.321112,57.5_to_77.8889,-2.09435_to_-1.85084,1.305555_to_2.527775,path
9.611115_to_15.61115,1.496605_to_12.20925,-0.111111_to_1.166665,193.5_to_inf,0.4612155_to_0.9822495,1.0555565_to_inf,0.5000005_to_1.36111,16.1296_to_19.6852,210.5_to_inf,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-8.166665,16.94445_to_22.16665,All,20.94445_to_25.61115,0.321112_to_0.3633355,8.833335_to_19.05555,0.64353_to_inf,1.305555_to_2.527775,grass
6.277775_to_8.611115,0.1962965_to_0.6236095,1.166665_to_5.388885,-inf_to_151.5,0.02962965_to_0.1777785,-8.5_to_-6.277775,0.5000005_to_1.36111,5.27778_to_6.35185,81.5_to_116.5,-inf_to_0.0555555,-inf_to_0.0555555,0.1666665_to_inf,2.722225_to_4.277775,All,6.5_to_8.5,0.5243995_to_0.6216975,6.166665_to_8.833335,-1.51262_to_-0.28793347,0.3333345_to_0.6111115,brickface
9.611115_to_15.61115,12.20925_to_inf,23.05555_to_32.94445,-inf_to_151.5,11.57775_to_inf,-6.277775_to_-1.388885,4.02778_to_19.3611,19.6852_to_28.8333,72.5_to_81.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,16.94445_to_22.16665,All,25.61115_to_36.27775,0.5243995_to_0.6216975,25.5_to_36.27775,-inf_to_-2.41102,6.63889_to_inf,foliage
18.16665_to_26.2222,1.496605_to_12.20925,16.94445_to_23.05555,-inf_to_151.5,1.59132_to_11.57775,-17.05555_to_-13.38885,1.916665_to_4.02778,19.6852_to_28.8333,81.5_to_116.5,-inf_to_0.0555555,0.0555555_to_inf,-4.611115_to_-1.277775,12.38885_to_16.94445,All,25.61115_to_36.27775,0.3633355_to_0.447372,25.5_to_36.27775,-1.85084_to_-1.51262,2.527775_to_4.083335,brickface
