sepallength,petalwidth,sepalwidth,petallength,class
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
5.55_to_inf,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
5.55_to_inf,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
5.55_to_inf,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,-inf_to_3.35,-inf_to_2.6,Iris-setosa
-inf_to_5.55,-inf_to_0.8,3.35_to_inf,-inf_to_2.6,Iris-setosa
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,4.75_to_inf,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,4.75_to_inf,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,4.75_to_inf,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,4.75_to_inf,Iris-versicolor
-inf_to_5.55,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,3.35_to_inf,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,2.6_to_4.75,Iris-versicolor
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
-inf_to_5.55,1.65_to_inf,-inf_to_3.35,2.6_to_4.75,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,3.35_to_inf,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
