rawred-mean,vegde-sd,exblue-mean,region-centroid-col,hedge-sd,exgreen-mean,hedge-mean,intensity-mean,region-centroid-row,short-line-density-2,short-line-density-5,exred-mean,rawgreen-mean,region-pixel-count,value-mean,saturation-mean,rawblue-mean,hue-mean,vedge-mean,class
41.94445_to_56.3333,0.1962965_to_0.6236095,42.83335_to_46.94445,193.5_to_inf,0.2074075_to_0.5577735,-26.05555_to_-20.94445,0.7222225_to_1.36111,47.22225_to_63.57405,160.5_to_210.5,-inf_to_0.0555555,0.0555555_to_inf,-22.27775_to_-13.94445,35.72225_to_55.83335,All,48.83335_to_79.61115,0.2749175_to_0.321112,48.83335_to_79.61115,-2.08594_to_-1.85084,0.7222225_to_1.305555,path
-inf_to_3.833335,0.1962965_to_0.6236095,1.166665_to_5.388885,-inf_to_151.5,0.2074075_to_0.5577735,-4.833335_to_-0.0555555,0.2777785_to_0.5000005,0.2037035_to_3.72222,129.5_to_147.5,-inf_to_0.0555555,-inf_to_0.0555555,-4.277775_to_-1.277775,-inf_to_1.722225,All,0.6111115_to_5.166665,0.7169145_to_inf,0.6111115_to_3.944445,-2.20746_to_-2.08594,0.1944435_to_0.3333345,foliage
67.83335_to_inf,0.6236095_to_1.468685,46.94445_to_53.83335,193.5_to_inf,0.915695_to_1.59132,-17.83335_to_-15.16665,0.7222225_to_1.36111,79.5926_to_inf,-inf_to_50.5,-inf_to_0.0555555,-inf_to_0.0555555,-inf_to_-29.5,71.27775_to_inf,All,101.11105_to_inf,0.117533_to_0.247783,101.11105_to_inf,-2.41348_to_-2.245545,0.7222225_to_1.305555,sky
24.83335_to_41.94445,1.468685_to_5.83043,23.16665_to_32.94445,-inf_to_151.5,1.59132_to_10.9407,-17.83335_to_-15.16665,4.805555_to_19.3611,31.8889_to_47.22225,160.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-11.72225,35.72225_to_55.83335,All,48.83335_to_79.61115,0.247783_to_0.2749175,48.83335_to_79.61115,-2.08594_to_-1.85084,1.305555_to_2.527775,path
41.94445_to_56.3333,1.468685_to_5.83043,32.94445_to_42.83335,-inf_to_151.5,1.59132_to_10.9407,-20.94445_to_-17.83335,1.916665_to_4.805555,47.22225_to_63.57405,160.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,35.72225_to_55.83335,All,48.83335_to_79.61115,0.2749175_to_0.321112,48.83335_to_79.61115,-2.08594_to_-1.85084,1.305555_to_2.527775,path
9.611115_to_15.61115,1.468685_to_5.83043,-0.111111_to_1.166665,193.5_to_inf,0.5577735_to_0.915695,1.0555565_to_inf,0.7222225_to_1.36111,17.16665_to_26.07405,210.5_to_inf,-inf_to_0.0555555,-inf_to_0.0555555,-11.72225_to_-7.611115,16.94445_to_22.16665,All,21.05555_to_28.83335,0.321112_to_0.3629445,8.833335_to_19.83335,0.64353_to_inf,1.305555_to_2.527775,grass
6.722225_to_8.5,0.1962965_to_0.6236095,1.166665_to_5.388885,-inf_to_151.5,0.02962965_to_0.2074075,-8.5_to_-6.277775,0.5000005_to_0.7222225,4.48148_to_6.35185,81.5_to_116.5,-inf_to_0.0555555,-inf_to_0.0555555,0.0555555_to_inf,2.722225_to_4.055555,All,6.611115_to_8.5,0.5279985_to_0.617328,6.166665_to_8.833335,-1.51371_to_-0.28793347,0.3333345_to_0.7222225,brickface
9.611115_to_15.61115,5.83043_to_inf,23.16665_to_32.94445,-inf_to_151.5,10.9407_to_inf,-6.277775_to_-4.833335,4.805555_to_19.3611,17.16665_to_26.07405,67.5_to_81.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,16.94445_to_22.16665,All,28.83335_to_36.27775,0.5279985_to_0.617328,25.83335_to_36.27775,-inf_to_-2.41348,6.63889_to_22.2778,foliage
18.72225_to_24.83335,0.6236095_to_1.468685,16.94445_to_23.16665,151.5_to_193.5,0.5577735_to_0.915695,-13.72225_to_-10.05555,0.7222225_to_1.36111,26.07405_to_29.55555,81.5_to_116.5,-inf_to_0.0555555,-inf_to_0.0555555,-11.72225_to_-7.611115,22.16665_to_26.5,All,28.83335_to_36.27775,0.2749175_to_0.321112,25.83335_to_36.27775,-2.08594_to_-1.85084,3.916665_to_6.63889,cement
-inf_to_3.833335,0.03333335_to_0.1962965,-0.111111_to_1.166665,-inf_to_151.5,0.02962965_to_0.2074075,-4.833335_to_-0.0555555,-inf_to_0.2777785,-inf_to_0.2037035,129.5_to_147.5,-inf_to_0.0555555,-inf_to_0.0555555,-1.277775_to_0.0555555,-inf_to_1.722225,All,-inf_to_0.6111115,0.110882_to_0.117533,-inf_to_0.6111115,-2.20746_to_-2.08594,-inf_to_0.1944435,window
