rawred-mean,vegde-sd,exblue-mean,region-centroid-col,hedge-sd,exgreen-mean,hedge-mean,intensity-mean,region-centroid-row,short-line-density-2,short-line-density-5,exred-mean,rawgreen-mean,region-pixel-count,value-mean,saturation-mean,rawblue-mean,hue-mean,vedge-mean,class
41.94445_to_56.3333,0.2074075_to_0.6236095,42.83335_to_48.7778,194.5_to_inf,0.3470235_to_0.964527,-25.83335_to_-20.94445,0.8333335_to_1.916665,45.9074_to_63.57405,170.5_to_210.5,-inf_to_0.0555555,0.0555555_to_inf,-22.27775_to_-13.94445,36.05555_to_55.83335,All,56.44445_to_77.8889,0.2749175_to_0.321112,56.44445_to_77.8889,-2.08594_to_-1.85084,0.7222225_to_1.305555,path
67.83335_to_inf,0.6236095_to_1.496605,48.7778_to_inf,194.5_to_inf,0.964527_to_1.59132,-17.83335_to_-15.16665,0.8333335_to_1.916665,82.9815_to_inf,39.5_to_52.5,-inf_to_0.0555555,-inf_to_0.0555555,-inf_to_-31.16665,71.27775_to_inf,All,101.7777_to_inf,0.117533_to_0.247783,101.7777_to_inf,-2.41102_to_-2.245905,0.7222225_to_1.305555,sky
31.72225_to_41.94445,1.496605_to_7.75185,21.16665_to_28.72225,-inf_to_151.5,1.59132_to_10.0611,-17.83335_to_-15.16665,4.02778_to_19.3611,31.8889_to_45.9074,170.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-11.72225,36.05555_to_55.83335,All,43.83335_to_56.44445,0.247783_to_0.2749175,43.83335_to_56.44445,-2.08594_to_-1.85084,1.305555_to_2.527775,path
41.94445_to_56.3333,1.496605_to_7.75185,28.72225_to_42.83335,-inf_to_151.5,1.59132_to_10.0611,-20.94445_to_-17.83335,1.916665_to_4.02778,45.9074_to_63.57405,170.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,36.05555_to_55.83335,All,56.44445_to_77.8889,0.2749175_to_0.321112,56.44445_to_77.8889,-2.08594_to_-1.85084,1.305555_to_2.527775,path
41.94445_to_56.3333,0.6236095_to_1.496605,28.72225_to_42.83335,-inf_to_151.5,1.59132_to_10.0611,-20.94445_to_-17.83335,1.916665_to_4.02778,45.9074_to_63.57405,170.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-11.72225,36.05555_to_55.83335,All,56.44445_to_77.8889,0.2749175_to_0.321112,56.44445_to_77.8889,-2.08594_to_-1.85084,1.305555_to_2.527775,path
9.277775_to_15.61115,1.496605_to_7.75185,0.0555555_to_5.388885,194.5_to_inf,0.3470235_to_0.964527,3.444445_to_inf,0.8333335_to_1.916665,17.16665_to_26.07405,210.5_to_inf,-inf_to_0.0555555,-inf_to_0.0555555,-11.72225_to_-7.611115,16.94445_to_22.27775,All,20.5_to_28.61115,0.321112_to_0.3629445,8.944445_to_19.83335,0.64353_to_inf,1.305555_to_2.527775,grass
6.388885_to_8.611115,0.2074075_to_0.6236095,0.0555555_to_5.388885,-inf_to_151.5,0.03888885_to_0.3470235,-8.5_to_-6.388885,0.5000005_to_0.8333335,4.53704_to_6.7963,83.5_to_119.5,-inf_to_0.0555555,-inf_to_0.0555555,0.1666665_to_inf,2.722225_to_4.166665,All,6.5_to_8.5,0.513642_to_0.6216975,5.166665_to_8.944445,-1.51262_to_-0.28793347,0.3333345_to_0.7222225,brickface
9.277775_to_15.61115,7.75185_to_inf,21.16665_to_28.72225,-inf_to_151.5,10.0611_to_241.335,-6.388885_to_-5.055555,4.02778_to_19.3611,17.16665_to_26.07405,67.5_to_83.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,16.94445_to_22.27775,All,28.61115_to_36.27775,0.513642_to_0.6216975,26.16665_to_36.27775,-inf_to_-2.41102,6.63889_to_inf,foliage
18.16665_to_22.8889,7.75185_to_inf,16.72225_to_21.16665,-inf_to_151.5,1.59132_to_10.0611,-17.83335_to_-15.16665,1.916665_to_4.02778,17.16665_to_26.07405,83.5_to_119.5,-inf_to_0.0555555,0.0555555_to_inf,-4.611115_to_-1.5,12.38885_to_16.94445,All,20.5_to_28.61115,0.3629445_to_0.447372,26.16665_to_36.27775,-1.85084_to_-1.51262,2.527775_to_3.916665,brickface
22.8889_to_26.2222,0.6236095_to_1.496605,16.72225_to_21.16665,151.5_to_194.5,0.3470235_to_0.964527,-13.72225_to_-9.944445,0.8333335_to_1.916665,26.07405_to_29.53705,67.5_to_83.5,-inf_to_0.0555555,-inf_to_0.0555555,-11.72225_to_-7.611115,22.27775_to_26.5,All,28.61115_to_36.27775,0.2749175_to_0.321112,26.16665_to_36.27775,-2.08594_to_-1.85084,3.916665_to_6.63889,cement
