rawred-mean,vegde-sd,exblue-mean,region-centroid-col,hedge-sd,exgreen-mean,hedge-mean,intensity-mean,region-centroid-row,short-line-density-2,short-line-density-5,exred-mean,rawgreen-mean,region-pixel-count,value-mean,saturation-mean,rawblue-mean,hue-mean,vedge-mean,class
41.94445_to_56.3333,0.2074075_to_0.6438355,46.61115_to_inf,193.5_to_inf,0.3470235_to_0.964527,-25.72225_to_-20.5,0.5000005_to_1.36111,47.22225_to_63.57405,160.5_to_210.5,-inf_to_0.0555555,0.0555555_to_inf,-22.27775_to_-13.94445,36.05555_to_55.83335,All,57.5_to_77.8889,0.2749175_to_0.321112,57.5_to_77.8889,-2.08594_to_-1.86573,0.7222225_to_1.250005,path
-inf_to_3.944445,0.2074075_to_0.6438355,1.166665_to_5.388885,-inf_to_151.5,0.3470235_to_0.964527,-6.277775_to_-0.0555555,0.2777785_to_0.5000005,0.1296295_to_3.72222,129.5_to_147.5,-inf_to_0.0555555,-inf_to_0.0555555,-3.166665_to_-1.277775,-inf_to_0.1666665,All,0.0555555_to_5.166665,0.7169145_to_inf,0.0555555_to_3.944445,-2.20746_to_-2.08594,0.1944435_to_0.3333345,foliage
67.2778_to_inf,0.6438355_to_1.496295,46.61115_to_inf,193.5_to_inf,0.964527_to_1.59132,-17.83335_to_-13.72225,0.5000005_to_1.36111,82.9815_to_inf,-inf_to_54.5,-inf_to_0.0555555,-inf_to_0.0555555,-inf_to_-30.27775,71.27775_to_inf,All,101.7777_to_inf,0.117533_to_0.247783,101.7777_to_inf,-2.41102_to_-2.245545,0.7222225_to_1.250005,sky
26.2222_to_41.94445,1.496295_to_7.75185,21.16665_to_28.72225,-inf_to_151.5,1.59132_to_11.57775,-17.83335_to_-13.72225,5.47222_to_19.3611,31.8889_to_47.22225,160.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-10.83335,36.05555_to_55.83335,All,43.83335_to_57.5,0.247783_to_0.2749175,43.83335_to_57.5,-2.08594_to_-1.86573,1.250005_to_2.527775,path
41.94445_to_56.3333,1.496295_to_7.75185,28.72225_to_42.16665,-inf_to_151.5,1.59132_to_11.57775,-20.5_to_-17.83335,2.055555_to_3.416665,47.22225_to_63.57405,160.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,36.05555_to_55.83335,All,57.5_to_77.8889,0.2749175_to_0.321112,57.5_to_77.8889,-2.08594_to_-1.86573,1.250005_to_2.527775,path
41.94445_to_56.3333,0.6438355_to_1.496295,28.72225_to_42.16665,-inf_to_151.5,1.59132_to_11.57775,-20.5_to_-17.83335,2.055555_to_3.416665,47.22225_to_63.57405,160.5_to_210.5,-inf_to_0.0555555,-inf_to_0.0555555,-13.94445_to_-10.83335,36.05555_to_55.83335,All,57.5_to_77.8889,0.2749175_to_0.321112,57.5_to_77.8889,-2.08594_to_-1.86573,1.250005_to_2.527775,path
6.388885_to_8.611115,0.2074075_to_0.6438355,1.166665_to_5.388885,-inf_to_151.5,0.02962965_to_0.3470235,-8.5_to_-6.277775,0.5000005_to_1.36111,4.48148_to_6.7963,81.5_to_116.5,-inf_to_0.0555555,-inf_to_0.0555555,0.0555555_to_inf,2.722225_to_4.166665,All,6.5_to_8.5,0.5243995_to_0.6216975,6.166665_to_8.833335,-1.51262_to_-0.28793347,0.3333345_to_0.7222225,brickface
9.611115_to_15.61115,7.75185_to_inf,21.16665_to_28.72225,-inf_to_151.5,11.57775_to_241.335,-6.277775_to_-0.0555555,5.47222_to_19.3611,19.9074_to_28.75925,72.5_to_81.5,-inf_to_0.0555555,-inf_to_0.0555555,-22.27775_to_-13.94445,16.94445_to_22.16665,All,28.38885_to_36.27775,0.5243995_to_0.6216975,26.27775_to_36.27775,-inf_to_-2.41102,6.63889_to_21.86115,foliage
18.16665_to_26.2222,7.75185_to_inf,16.72225_to_21.16665,-inf_to_151.5,1.59132_to_11.57775,-17.83335_to_-13.72225,3.416665_to_5.47222,19.9074_to_28.75925,81.5_to_116.5,-inf_to_0.0555555,0.0555555_to_inf,-3.166665_to_-1.277775,12.38885_to_16.94445,All,20.72225_to_28.38885,0.3629445_to_0.447372,26.27775_to_36.27775,-1.795415_to_-1.51262,2.527775_to_4.083335,brickface
-inf_to_3.944445,0.02962985_to_0.2074075,1.166665_to_5.388885,193.5_to_inf,-inf_to_0.02962965,-6.277775_to_-0.0555555,-inf_to_0.2777785,0.1296295_to_3.72222,147.5_to_155.5,-inf_to_0.0555555,-inf_to_0.0555555,-1.277775_to_0.0555555,-inf_to_0.1666665,All,0.0555555_to_5.166665,0.7169145_to_inf,0.0555555_to_3.944445,-2.20746_to_-2.08594,0.1944435_to_0.3333345,window
